City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,yuzhno-kurilsk,44.0306,145.8556,8.52,82,99,5.96,RU,1731257322
340,jumla,29.2747,82.1838,5.99,91,31,1.36,NP,1731257268
341,crucecita,-28.95,-58.9833,32.94,27,0,3.79,AR,1731257385
342,mwene-ditu,-7.0,23.45,19.17,97,79,1.98,CD,1731257386
343,saint-pierre,-21.3393,55.4781,25.82,69,0,1.54,RE,1731257309
344,port macquarie,-31.4333,152.9167,20.6,88,49,1.34,AU,1731257388
345,chui,-33.6971,-53.4616,24.03,49,0,4.29,UY,1731257390
346,mwingi,-0.9344,38.0601,22.46,71,94,2.55,KE,1731257391
347,labrador city,52.9463,-66.9114,0.1,80,100,5.36,CA,1731257298
348,nahrin,36.0649,69.1334,10.91,85,100,0.8,AF,1731257393
349,pandan,14.0453,124.1694,26.6,86,100,5.76,PH,1731257394
350,rabaul,-4.1967,152.1721,26.3,81,100,2.37,PG,1731257395
351,pampa,35.5362,-100.9599,13.02,58,0,5.14,US,1731257396
352,port alfred,-33.5906,26.891,15.66,97,98,4.35,ZA,1731257397
353,port saint john's,-31.6229,29.5448,17.5,92,100,1.46,ZA,1731257398
354,eyl,7.9803,49.8164,26.98,75,32,8.2,SO,1731257281
355,sinop,41.7711,34.8709,8.63,76,96,1.58,TR,1731257199
356,metlili chaamba,32.2667,3.6333,20.67,38,4,5.28,DZ,1731257403
357,olyokminsk,60.3736,120.4264,-16.17,99,91,1.49,RU,1731257404
358,mglin,53.0591,32.8475,5.0,90,100,2.25,RU,1731257405
359,mount pearl,47.5166,-52.7813,2.2,72,75,14.4,CA,1731257406
360,shixing,24.9482,114.0657,18.74,83,51,1.27,CN,1731257407
361,orel,52.9658,36.0803,5.11,69,100,2.65,RU,1731257408
362,long beach,33.767,-118.1892,18.47,53,86,0.89,US,1731257387
